delivery,door step
delivery,delivery
delivery,provide parcel
email,email
Enquiry,purchase
Enquiry,want,wanna
Enquiry,yes,ya,yee
Enquiry,No
Enquiry,offers
Enquiry,open for
Enquiry,work for
Enquiry,timimngs
Enquiry,menu,available,show
Enquiry,delivery
Enquiry,organic,chemical less,without chemical
Enquiry,contact no
Enquiry,services
Enquiry,help
greetings,Good morning,GM,goodmorning,gud mrng,Gud morning
greetings,Good Evening,gud evening,Good eve,ge,Gud Eve
greetings,Namaste,Namaste
greetings,Hello
greetings,Hi
greetings,Good afternoon,gud afternoon 
hour_info,open
hour_info,working
hour_info,work
items,Tooth paste
items,vegetable's
items,Bread
items,Dettol soap
items,Fruits
items,Milk
items,pulses
items,Basmati Mogra
items,Soap
items,spices
offers,banana
offers,Apple
offers,Basmati Mogra rice
offers,Gujrat tur dal
offers,Rice
offers,Sunflower oil
Order,order,buy,purchase
Payments,Card
Payments,Net Banking
Payments,COD,Cash On Delivery
Payments,UPI
phone,contact no
phone,call you
phone,mobile no
phone,phone
thank_you
